REVIEW|3c1c65e7|fix(auxiliary): generalize unsupported-parameter detector and harden max_tokens retry (#15633)
SKIP|f92006ce|fix(compression): reserve system+tools headroom when aux binds threshold (#15631)
REVIEW|b35d692f|chore(release): map ash@users.noreply.github.com to ash
REVIEW|facea845|fix(auxiliary): retry without temperature when any provider rejects it
SKIP|f67a61dc|fix(flush_memories): strip temperature from codex_responses fallback (#15620)
OTHER|6ed37e0f|feat(tools): make discord/discord_admin opt-in, Discord-only
OTHER|591deeb9|feat(session): inject Discord IDs block when discord tool is loaded
REVIEW|5ae07e7b|fix(session): gate stale "no Discord APIs" note on DISCORD_BOT_TOKEN
OTHER|47b02e96|feat(discord): populate guild_id, parent_chat_id, message_id on SessionSource
OTHER|0702231d|feat(session): add guild_id/parent_chat_id/message_id to SessionSource
SKIP|db09477b|feat(feishu): wire feishu doc/drive tools into hermes-feishu composite
SKIP|81987f03|feat(discord): split discord_server into discord + discord_admin tools
REVIEW|9830905d|fix(tools): recover non-configurable toolsets from composite resolution
